Título;ISSN impresa;ISSN en linea;Instituto;URL
Acta bioquímica clínica latinoamericana;0325-2957;;;https://biblat.unam.mx/es/revista/acta-bioquimica-clinica-latinoamericana/articulo/alteraciones-de-parametros-de-laboratorio-en-pacientes-con-sars-cov-2
Revista argentina de cirugía;2250-639X;;;https://biblat.unam.mx/es/revista/revista-argentina-de-cirugia/articulo/abordaje-laparoscopico-sistematico-de-la-coledocolitiasis
Novedades económicas;0325-8114;;;https://biblat.unam.mx/es/revista/novedades-economicas/articulo/argentina-al-21-de-diciembre
La prensa médica argentina;0032-745X;;;https://biblat.unam.mx/es/revista/la-prensa-medica-argentina/articulo/analisis-estadistico-en-pacientes-ingresados-en-una-unidad-coronaria
Desarrollo económico;0046-001X;;;https://biblat.unam.mx/es/revista/desarrollo-economico/articulo/el-peronismo-que-no-fue-el-papel-de-la-lucha-politica-interindustrial-en-la-temprana-frustracion-del-peronismo-de-peron
Realidad económica (Buenos Aires);0325-1926;;;https://biblat.unam.mx/es/revista/realidad-economica-buenos-aires/articulo/ajuste-en-epocas-de-crisis-el-caso-de-entre-rios-argentina-durante-la-gran-depresion
Ameghiniana;0002-7014;;;https://biblat.unam.mx/es/revista/ameghiniana/articulo/description-of-new-postcranial-elements-of-mylodon-darwinii-owen-1839-mammalia-pilosa-mylodontinae-and-functional-morphology-of-the-forelimb
Integración latinoamericana;0325-1675;;;https://biblat.unam.mx/es/revista/integracion-latinoamericana/articulo/bizzozero-l-bodemer-k-vaillant-m-compiladores-nuevos-regionalismos-cooperacion-o-conflicto-santiago-de-chile-universidad-de-la-republica-oriental-del-uruguay-fundacion-friedrich-ebert-de-uruguay-editorial-nueva-socieda
Acta gastroenterológica latinoamericana;0300-9033;;;https://biblat.unam.mx/es/revista/acta-gastroenterologica-latinoamericana/articulo/ablacion-por-radiofrecuencia-en-esofago-de-barrett-experiencia-inicial
Latin American applied research;0327-0793;;;https://biblat.unam.mx/es/revista/latin-american-applied-research/articulo/analysis-of-the-influence-of-switching-related-parameters-in-the-dab-converter-under-softs-witching
Acta farmacéutica bonaerense;0326-2383;;;https://biblat.unam.mx/es/revista/acta-farmaceutica-bonaerense/articulo/2-3-4-6-tetra-o-3-nitropropanoyl-o-beta-d-glucopyranoside-a-new-antimicrobial-from-the-roots-of-heteropteris-aphrodisiaca
Darwiniana;1850-1699;;;https://biblat.unam.mx/es/revista/darwiniana/articulo/andropogon-paraguariensis-un-nuevo-nombre-para-andropogon-velutinus-poaceae-andropogoneae
Revista telegráfica electrónica;0035-0516;;;https://biblat.unam.mx/es/revista/revista-telegrafica-electronica/articulo/efecto-de-los-arboles-sobre-las-antenas-verticales
Acta psiquiátrica y psicológica de América Latina;0001-6896;;;https://biblat.unam.mx/es/revista/acta-psiquiatrica-y-psicologica-de-america-latina/articulo/apostillas-a-una-historia-de-las-ideas-psiquiatricas
Phyton;0031-9457;;;https://biblat.unam.mx/es/revista/phyton/articulo/allelopathic-testing-of-pedicularis-kansuensis-scrophulariaceae-on-seed-germination-and-seedling-growth-of-two-native-grasses-in-the-tibetan-plateau
Mundo agrario (La Plata);1515-5994;;;https://biblat.unam.mx/es/revista/mundo-agrario-la-plata/articulo/a-ecologia-politica-nas-acoes-dos-movimentos-socioterritoriais-no-brasil-resistencias-contra-os-agrotoxicos-e-na-defesa-da-agroecologia
Herramienta (Buenos Aires);0329-6121;;;https://biblat.unam.mx/es/revista/herramienta-buenos-aires/articulo/ante-la-guerra-capitalista-rebeldia-y-construir-autonomia
Boletín de la Academia Nacional de Medicina de Buenos Aires;0374-647X;;;https://biblat.unam.mx/es/revista/boletin-de-la-academia-nacional-de-medicina-de-buenos-aires/articulo/anti-citrullinated-peptideprotein-antibodies-in-pre-early-and-established-rheumatoid-arthritis
Physis. Secciones A, B y C;0326-1441;;;https://biblat.unam.mx/es/revista/physis-secciones-a-b-y-c/articulo/acaros-hiporreicos-de-argentina-nuevos-datos-sobre-neomamersinae-lundblad-limnesiidae
Anales de la Sociedad Rural Argentina;0037-8631;;;https://biblat.unam.mx/es/revista/anales-de-la-sociedad-rural-argentina/articulo/altamente-contagiosa-mastitis-por-micoplasma
Signos universitarios;0326-3932;;;https://biblat.unam.mx/es/revista/signos-universitarios/articulo/aportes-morfologicos-a-la-neurobiologia-en-estudios-postmortem-y-en-imagenes-de-resonancia-magnetica-nuclear
Veterinaria argentina;0326-4629;;;https://biblat.unam.mx/es/revista/veterinaria-argentina/articulo/estudios-hematologicos-en-cobayos-y-equinos-infectados-con-el-trypanosoma-evansi-steel-1885
Stromata;0049-2353;;;https://biblat.unam.mx/es/revista/stromata/articulo/acontecimiento-sentido-accion-aportaciones-de-paul-ricoeur-para-una-hermeneutica-del-acontecimiento-y-la-accion-historica-aplicacion-al-acontecer-argentino-actual
Ciencia, docencia y tecnología;0327-5566;;;https://biblat.unam.mx/es/revista/ciencia-docencia-y-tecnologia/articulo/fake-news-e-ensino-de-ciencias-compreensoes-e-discussoes-para-o-ensino-e-a-pesquisa
Acta zoológica lilloana;0065-1729;;;https://biblat.unam.mx/es/revista/acta-zoologica-lilloana/articulo/v-reunion-argentina-de-parasitoidologos-v-rap-nuevos-desafios-en-el-estudio-de-parasitoides
La alimentación latinoamericana;0325-3384;;;https://biblat.unam.mx/es/revista/la-alimentacion-latinoamericana/articulo/brotes-y-contaminaciones-alimentarias-vinculadas-al-medio-ambiente
Nuevamérica;0325-6960;;;https://biblat.unam.mx/es/revista/nuevamerica/articulo/a-saude-como-direito-o-desafio-por-acesso-igual
Quirón;0326-2345;;;https://biblat.unam.mx/es/revista/quiron/articulo/alcmeon-de-crotona-antropologia-y-patologia
Olivar (La Plata);1852-4478;;;https://biblat.unam.mx/es/revista/olivar-la-plata/articulo/a-la-vejez-sisifo-politicas-del-artificio-y-vidas-de-la-ficcion-en-juegos-de-la-edad-tardia-de-luis-landero
Revista del Museo Argentino de Ciencias Naturales (1999);1514-5158;;;https://biblat.unam.mx/es/revista/revista-del-museo-argentino-de-ciencias-naturales-1999/articulo/acromyrmex-mayr-hymenoptera-formicidae-myrmicinae-patrones-de-distribucion-de-las-especies-en-la-provincia-de-buenos-aires-argentina
Summa (Buenos Aires);0325-4615;;;https://biblat.unam.mx/es/revista/summa-buenos-aires/articulo/actividades-compartidas-en-una-casa-de-palermo
Andes (Salta);0327-1676;;;https://biblat.unam.mx/es/revista/andes-salta/articulo/conflictos-en-las-fronteras-del-chaco-la-disputa-entre-cordoba-y-santa-fe-hacia-mediados-del-siglo-xviii
Obstetricia y ginecología latinoamericanas;0029-7836;;;https://biblat.unam.mx/es/revista/obstetricia-y-ginecologia-latinoamericanas/articulo/analisis-correlativo-entre-colposcopia-citologia-y-biopsia-cervical-uterina-en-un-grupo-de-pacientes-ambulatorios
La trama de la comunicación;1668-5628;;;https://biblat.unam.mx/es/revista/la-trama-de-la-comunicacion/articulo/baja-de-edad-de-punibilidad-un-analisis-en-medios-de-comunicacion
Actualidad económica (Córdoba);0327-585X;;;https://biblat.unam.mx/es/revista/actualidad-economica-cordoba/articulo/argentina-brasil-y-chile-un-analisis-estrategico-de-sus-vinculos-comerciales
Cuadernos de herpetología;0326-551X;;;https://biblat.unam.mx/es/revista/cuadernos-de-herpetologia/articulo/dieta-de-la-lagartija-arenicola-liolaemus-laurenti-sauria-liolaemidae-en-un-bioma-de-desierto-de-argentina
Synthesis (La Plata);0328-1205;;;https://biblat.unam.mx/es/revista/synthesis-la-plata/articulo/archilochus-8-ieg-a-grey-fair-tressed-sea-or-a-goddess
Revista de nefrología, diálisis y transplante;0326-3428;;;https://biblat.unam.mx/es/revista/revista-de-nefrologia-dialisis-y-transplante/articulo/biopsia-renal-en-el-adulto-mayor
Revista del derecho industrial;0327-4039;;;https://biblat.unam.mx/es/revista/revista-del-derecho-industrial/articulo/defensa-de-la-competencia-en-el-mercosur
Biocell;0327-9545;;;https://biblat.unam.mx/es/revista/biocell/articulo/in-memoriam-of-hector-torres
Redes (Quilmes);0328-3186;;;https://biblat.unam.mx/es/revista/redes-quilmes/articulo/afinidades-criticas-la-relacion-entre-politica-y-conocimiento-en-althusser-en-dialogo-con-los-cuestionamientos-de-adorno-al-positivismo
Salud colectiva;1669-2381;;;https://biblat.unam.mx/es/revista/salud-colectiva/articulo/concentracion
Revista question;1669-6581;;;https://biblat.unam.mx/es/revista/revista-question/articulo/alternativas-de-abordaje-e-intervencion-en-un-centro-de-actividades-juvenil-la-articulacion-de-procesos-comunicacionales-en-los-espacios-educativos-participativos
Gaceta veterinaria;0367-3812;;;https://biblat.unam.mx/es/revista/gaceta-veterinaria/articulo/aspectos-practicos-en-la-regulacion-farmacologica-del-parto-en-los-bovinos
Quid 16;2250-4060;;;https://biblat.unam.mx/es/revista/quid-16/articulo/descentralizacion-participacion-y-despolitizacion-un-analisis-sobre-procesos-ideologicos-y-discursivos-de-neoliberalizacion-en-la-ciudad-de-buenos-aires-desde-1996-hasta-la-actualidad
Lilloa;0075-9481;;;https://biblat.unam.mx/es/revista/lilloa/articulo/analisis-meiotico-de-dos-especies-de-cuscuta-subgenero-grammica-convolvulaceae
Revista pilquen. Sección ciencias sociales;1851-3123;;;https://biblat.unam.mx/es/revista/revista-pilquen-seccion-ciencias-sociales/articulo/con-la-lupa-en-las-biografias-una-propuesta-teorico-metodologica-para-el-analisis-de-las-politicas-de-vejez
A&P continuidad;2362-6097;;;https://biblat.unam.mx/es/revista/a-p-continuidad/articulo/al-borde-arquitectos-circulacion-y-legitimacion
Espacios en blanco. Serie indagaciones;1515-9485;;;https://biblat.unam.mx/es/revista/espacios-en-blanco-serie-indagaciones/articulo/aprendizajes-y-tareas-pendientes-a-partir-de-la-virtualizacion-de-emergencia-de-la-ensenanza-en-el-nivel-de-posgrado
Económica (La Plata);0013-0419;;;https://biblat.unam.mx/es/revista/economica-la-plata/articulo/comparing-downpayment-and-interest-rate-mortgage-subsidies-an-analytical-approach
Quinto sol;1851-2879;;;https://biblat.unam.mx/es/revista/quinto-sol/articulo/candioti-magdalena-un-maldito-derecho-leyes-jueces-y-revolucion-en-la-buenos-aires-republicana-1810-1830-buenos-aires-ediciones-didot-2017-260-p
CEINAR (Buenos Aires);0325-1888;;;https://biblat.unam.mx/es/revista/ceinar-buenos-aires/articulo/etchepareborda-r-zeballos-y-la-politica-exterior-argentina-buenos-aires-ed-m-pleamar-1982-121-p
Palabra clave (La Plata);1853-9912;;;https://biblat.unam.mx/es/revista/palabra-clave-la-plata/articulo/aplicacoes-folksonomicas-em-plataformas-colaborativas-do-patrimonio-cultural-analise-comparativa-dos-projetos-crowdheritage-e-arquigrafia
H-industri@ (Buenos Aires);1851-703X;;;https://biblat.unam.mx/es/revista/h-industri-buenos-aires/articulo/alto-bruno-de-tozuda-industria-nacional-estudio-tecnico-y-social-sobre-cuatro-casos-entre-1776-y-1910-buenos-aires-ciccus-lenguaje-claro-editora-2017-224-p
Acta physiologica et pharmacologica latinoamericana;0326-6656;;;https://biblat.unam.mx/es/revista/acta-physiologica-et-pharmacologica-latinoamericana/articulo/identificacion-de-anticuerpos-dirigidos-a-los-receptores-colinergicos-muscarinicos-cardiacos-rcmc-en-el-suero-de-pacientes-chagasicos-implicancias-patogenicas
Aportes para la integración latinoamericana;1667-8613;;;https://biblat.unam.mx/es/revista/aportes-para-la-integracion-latinoamericana/articulo/proyecto-de-confederacion-latinoamericana-de-1862-un-ignorado-precursor-boliviano-de-la-teoria-de-la-integracion-regional
Bonplandia;0524-0476;;;https://biblat.unam.mx/es/revista/bonplandia/articulo/erythrostemon-gilliesii-var-burkartiana-fabaceae-taxon-valido-para-argentina-y-su-presencia-en-la-provincia-de-santiago-del-estero
Estudios migratorios latinoamericanos;0326-7458;;;https://biblat.unam.mx/es/revista/estudios-migratorios-latinoamericanos/articulo/borges-marcelo-chains-of-gold-portuguese-migration-to-argentina-in-transatlantic-perspectiva-leiden-y-boston-brill-2009
Austral comunicación;2313-9137;;;https://biblat.unam.mx/es/revista/austral-comunicacion/articulo/analisis-de-la-gestion-de-redes-sociales-del-gobierno-peruano-y-sus-19-ministerios-durante-la-pandemia-del-covid-19
Revista de la Asociación de Ciencias Naturales del Litoral;0325-2809;;;https://biblat.unam.mx/es/revista/revista-de-la-asociacion-de-ciencias-naturales-del-litoral/articulo/algunas-menoponidae-insecta-phthiraptera-de-aves-bonaerenses
