Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Patristica et Mediaevalia;0325-2280;2683-9636;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Sección de Estudios de Filosofía Medieval;Universidad de Buenos Aires;https://doaj.org/toc/2683-9636
Proyecciones;1850-6542;2618-5474;Universidad Nacional de La Plata;Universidad Nacional de La Plata;https://doaj.org/toc/2618-5474
Tópicos;1666-485X;1668-723X;Universidad Nacional del Litoral;Asociación Revista de Filosofía de Santa Fe;https://doaj.org/toc/1668-723X
Evidencia. Actualización en la Práctica Ambulatoria;1667-5703;1851-9776;;Fundacion MF;https://doaj.org/toc/1851-9776
Marine and Fishery Sciences;;2683-7951;;Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP);https://doaj.org/toc/2683-7951
Argentinian Journal of Respiratory and Physical Therapy;;2618-4095;;Asociación Civil Científica de Difusión y Promoción de la Kinesiología;https://doaj.org/toc/2618-4095
Pensum;;2469-0724;Universidad Nacional de Córdoba, Facultad de Arquitectura, Urbanismo y Diseño, Instituto de Investigación de Vivienda y Hábitat;Universidad Nacional de Córdoba;https://doaj.org/toc/2469-0724
Revista Quebracho;0328-0543;1851-3026;Universidad Nacional de Santiago del Estero, Facultad de Ciencias Forestales;Universidad Nacional de Santiago del Estero;https://doaj.org/toc/1851-3026
Quid 16;;2250-4060;Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires;https://doaj.org/toc/2250-4060
Identidades;;2250-5369;Instituto de Estudios Sociales y Políticos de la Patagonia;Universidad Nacional de la Patagonia San Juan Bosco;https://doaj.org/toc/2250-5369
Cuadernos de Historia del Arte;0070-1688;2618-5555;Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte;Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte;https://doaj.org/toc/2618-5555
Anales (Asociación Física Argentina);0327-358X;1850-1168;Asociacion Fisica Argentina;CEILAP-UNIDEF-CONICET-CITEDEF;https://doaj.org/toc/1850-1168
Anuario del Centro de Estudios Históricos "Profesor Carlos S. A. Segreti";1666-6836;2683-9164;;Centro de Estudios Históricos Segreti;https://doaj.org/toc/2683-9164
Prohistoria;1514-0032;1851-9504;;Grupo Prohistoria;https://doaj.org/toc/1851-9504
Revista de Psicología;1669-2438;2469-2050;;Pontificia Universidad Católica Argentina. Facultad de Psicología y Psicopedagogía;https://doaj.org/toc/2469-2050
ConCienciaSocial;;2591-5339;Universidad Nacional de Córdoba, Facultad de Ciencias Sociales, Dirección de Carrera de Licenciatura en Trabajo Social;Universidad Nacional de Córdoba;https://doaj.org/toc/2591-5339
Revista Argentina de Radiología;0048-7619;1852-9992;Sociedad Argentina de Radiología (SAR) and Federación Argentina de Asociaciones de Radiología, Diagnóstico por Imágenes y Terapia Radiante (FAARDIT).;Publicaciones Permanyer;https://doaj.org/toc/1852-9992
Revista TEFROS;;1669-726X;Universidad Nacional de Río Cuarto, Taller de Etnohistoria de la Frontera Sur;Universidad Nacional de Río Cuarto;https://doaj.org/toc/1669-726X
Geograficando;1850-1885;2346-898X;Facultad de Humanidades y Ciencias de la Educación, Departamento de Geografía;Universidad Nacional de La Plata;https://doaj.org/toc/2346-898X
Revista Latinoamericana de la Papa;;1853-4961;;Asociación Latinoamericana de la Papa;https://doaj.org/toc/1853-4961
Revista de la Sociedad Entomológica Argentina;0373-5680;1851-7471;;Sociedad Entomológica Argentina;https://doaj.org/toc/1851-7471
Revista de la Escuela de Antropología;1852-1576;2618-2998;;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Antropología.;https://doaj.org/toc/2618-2998
Virtualidad, Educación y Ciencia;;1853-6530;Universidad Nacional de Córdoba;Maestría en Procesos Educativos Mediados por Tecnología;https://doaj.org/toc/1853-6530
Sociedades Precapitalistas;;2250-5121;Facultad de Humanidades y Ciencias de la Educación, Centro de Estudios de Historia Social Europea;Universidad Nacional de La Plata;https://doaj.org/toc/2250-5121
