Título;ISSN impresa;ISSN en linea;Instituto;URL
+E: Revista de Extensión Universitaria;2346-9986;;;https://dialnet.unirioja.es/servlet/revista?codigo=26338
A&P continuidad;2362-6089;;;https://dialnet.unirioja.es/servlet/revista?codigo=28544
"AREA, Agenda de Reflexión en Arquitectura, Diseño y Urbanismo";0328-1337;;;https://dialnet.unirioja.es/servlet/revista?codigo=27384
ARTILUGIO;2408-462X;;;https://dialnet.unirioja.es/servlet/revista?codigo=28004
AUGMDOMUS;1852-2181;;;https://dialnet.unirioja.es/servlet/revista?codigo=26235
Ab Intus;2618-2734;;;https://dialnet.unirioja.es/servlet/revista?codigo=28251
Academia: revista sobre enseñanza del derecho de Buenos Aires;1667-4154;;;https://dialnet.unirioja.es/servlet/revista?codigo=16219
Acta geológica lilloana;0567-7513;;;https://dialnet.unirioja.es/servlet/revista?codigo=19914
Actas y Comunicaciones del Instituto de Historia Antigua y Medieval;1669-7286;;;https://dialnet.unirioja.es/servlet/revista?codigo=19289
Actualidad Económica;2250-754X;;;https://dialnet.unirioja.es/servlet/revista?codigo=25760
AdVersuS: Revista de Semiótica;1669-7588;;;https://dialnet.unirioja.es/servlet/revista?codigo=7572
Aequitas;1851-5517;;;https://dialnet.unirioja.es/servlet/revista?codigo=22173
Agrotecnia;2545-8906;;;https://dialnet.unirioja.es/servlet/revista?codigo=27409
Aletheia: Revista de la Maestría en Historia y Memoria de la FaHCE;1853-3701;;;https://dialnet.unirioja.es/servlet/revista?codigo=17632
Anacronismo e irrupción: Revista de teoría y filosofía política clásica y moderno;2250-4982;;;https://dialnet.unirioja.es/servlet/revista?codigo=24586
Analecta Veterinaria;1514-2590;;;https://dialnet.unirioja.es/servlet/revista?codigo=26211
Anales: Academia Nacional de Derecho y Ciencias Sociales de Córdoba;0325-5425;;;https://dialnet.unirioja.es/servlet/revista?codigo=12414
Anales de Arqueología y Etnología;0325-0288;;;https://dialnet.unirioja.es/servlet/revista?codigo=27844
Anales de Filología Clásica;0325-1721;;;https://dialnet.unirioja.es/servlet/revista?codigo=27943
Anales de historia antigua y medieval;0402-3277;;;https://dialnet.unirioja.es/servlet/revista?codigo=9990
"Anales de historia antigua, medieval y moderna";1514-9927;;;https://dialnet.unirioja.es/servlet/revista?codigo=66
Anales de la Educación Común;2451-5329;;;https://dialnet.unirioja.es/servlet/revista?codigo=28235
Anales de la Facultad de Ciencias Jurídicas y Sociales de la Universidad Nacional de La Plata;2591-6386;;;https://dialnet.unirioja.es/servlet/revista?codigo=26209
Anales de lingüística;0325-3597;;;https://dialnet.unirioja.es/servlet/revista?codigo=24060
Anales del IAA;2362-2024;;;https://dialnet.unirioja.es/servlet/revista?codigo=26829
Anales del Instituto de lingüística;0325-3597;;;https://dialnet.unirioja.es/servlet/revista?codigo=79
Anatéllei: se levanta;1850-4671;;;https://dialnet.unirioja.es/servlet/revista?codigo=10874
Anclajes;1851-4669;;;https://dialnet.unirioja.es/servlet/revista?codigo=19689
Antigua Matanza;2545-8701;;;https://dialnet.unirioja.es/servlet/revista?codigo=26631
Antiguo Oriente: cuadernos del Centro de Estudios de Historia del Antiguo Oriente;1667-9202;;;https://dialnet.unirioja.es/servlet/revista?codigo=7604
Anuario: Escuela de Archivología;1852-6446;;;https://dialnet.unirioja.es/servlet/revista?codigo=24550
Anuario Digital de Investigación Educativa;2618-3862;;;https://dialnet.unirioja.es/servlet/revista?codigo=26454
Anuario IEHS: Instituto de Estudios histórico sociales;0326-9671;;;https://dialnet.unirioja.es/servlet/revista?codigo=18552
Anuario TAREA;2469-0422;;;https://dialnet.unirioja.es/servlet/revista?codigo=27271
Anuario argentino de derecho canónico;0328-5049;;;https://dialnet.unirioja.es/servlet/revista?codigo=10860
Anuario de Derecho Civil;2683-6920;;;https://dialnet.unirioja.es/servlet/revista?codigo=26459
Anuario de Historia de la Educación: Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación;2313-9277;;;https://dialnet.unirioja.es/servlet/revista?codigo=28540
