Título;ISSN en linea;ISSN impresa;ISSN-L;Instituto;URL
(En)clave Comahue;2545-6393;;2545-6393;Universidad Nacional del Comahue, Facultad de Derecho y Ciencias Sociales;https://www.latindex.org/latindex/ficha/23305
1991. Revista de Estudios Internacionales;2683-720X;;2683-720X;Universidad Nacional de Córdoba, Facultad de Ciencias Sociales, Maestría en Relaciones Internacionales;https://www.latindex.org/latindex/ficha/24857
A&P continuidad;2362-6097;;2362-6089;A&P Ediciones;https://www.latindex.org/latindex/ficha/24130
Ab Intus;2618-2734;;2618-2734;Universidad Nacional de Río Cuarto, Facultad de Agronomía y Veterinaria;https://www.latindex.org/latindex/ficha/24157
Acta bioquímica clínica latinoamericana;1851-6114;0325-2957;0325-2957;Federación Bioquímica de la Provincia de Buenos Aires;https://www.latindex.org/latindex/ficha/210
Acta zoológica lilloana;1852-6098;0065-1729;0065-1729;Fundación Miguel Lillo, Dirección de Zoología;https://www.latindex.org/latindex/ficha/325
Actualización en nutrición;2250-7183;;1667-8052;Sociedad Argentina de Nutrición;https://www.latindex.org/latindex/ficha/25146
Actualizaciones en Sida e Infectología.;2718-7845;;2718-7845;Fundación Huésped;https://www.latindex.org/latindex/ficha/27931
Ágora UNLaR;2545-6024;;2545-6024;Universidad Nacional de La Rioja;https://www.latindex.org/latindex/ficha/25195
Agriscientia;1668-298X;0327-6244;0327-6244;Universidad Nacional de Córdoba, Facultad de Ciencias Agropecuarias;https://www.latindex.org/latindex/ficha/19950
Aiken Revista de Ciencias Sociales y de la Salud.;2796-7506;2796-7395;2796- 739;Juliana Burgos;https://www.latindex.org/latindex/ficha/27917
Algarrobo MEL;2344-9179;;2344-9179;Maestría en Estudios Latinoamericanos;https://www.latindex.org/latindex/ficha/22958
Anacronismo e irrupción;2250-4982;;2250-4982;Universidad de Buenos Aires,  Facultad de Ciencias Sociales,  Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/20007
Analecta veterinaria;1514-2590;;0365-5148;Universidad Nacional de La Plata, Facultad de Ciencias Veterinarias;https://www.latindex.org/latindex/ficha/23959
Anales;2591-6386;;0075-7411;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales;https://www.latindex.org/latindex/ficha/24380
Anales (Asociación Física Argentina);1850-1168;0327-358X;0327-358X;Asociación Física Argentina;https://www.latindex.org/latindex/ficha/19016
