Título;ISSN impresa;ISSN en linea;Instituto;URL
Anclajes;0329-3807;1851-4669;Universidad Nacional de La Pampa;https://www.redalyc.org/revista.oa?id=224&tipo=coleccion
Andes;0327-1676;1668-8090;Instituto de Investigaciones en Ciencias Sociales y Humanidades;https://www.redalyc.org/revista.oa?id=127&tipo=coleccion
Bonplandia;0524-0476;1853-8460;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);https://www.redalyc.org/revista.oa?id=6857&tipo=coleccion
Ciencias Administrativas;;2314-3738;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=5116&tipo=coleccion
Darwiniana;0011-6793;1850-1702;Instituto de Botánica Darwinion;https://www.redalyc.org/revista.oa?id=669&tipo=coleccion
Cuadernos del CIMBAGE;;1666-5112;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=462&tipo=coleccion
Cuadernos del CILHA;1515-6125;1852-9615;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=1817&tipo=coleccion
deSignis;1578-4223;2462-7259;Federación Latinoamericana de Semiótica;https://www.redalyc.org/revista.oa?id=6060&tipo=coleccion
Cuadernos de Economía Crítica;2408-400X;2525-1538;Sociedad de Economía Crítica;https://www.redalyc.org/revista.oa?id=5123&tipo=coleccion
Enfoques;1514-6006;1669-2721;Universidad Adventista del Plata;https://www.redalyc.org/revista.oa?id=259&tipo=coleccion
ESTUDIOS ECONÓMICOS;0425-368X;2525-1295;Universidad Nacional del Sur;https://www.redalyc.org/revista.oa?id=5723&tipo=coleccion
Análisis Filosófico;0326-1301;1851-9636;Sociedad Argentina de Análisis Filosófico;https://www.redalyc.org/revista.oa?id=3400&tipo=coleccion
Estudios del Hábitat;;2422-6483;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=6364&tipo=coleccion
Cuadernos de Historia de España;0325-1195;1850-2717;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=3796&tipo=coleccion
Cuadernos de historia del arte;0070-1688;2618-5555;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=6038&tipo=coleccion
Fundamentos en Humanidades;1515-4467;1668-7116;Universidad Nacional de San Luis;https://www.redalyc.org/revista.oa?id=184&tipo=coleccion
INSUFICIENCIA CARDIACA;1850-1044;1852-3862;Federación Argentina de Cardiología;https://www.redalyc.org/revista.oa?id=3219&tipo=coleccion
Interdisciplinaria;0325-8203;1668-7027;Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines;https://www.redalyc.org/revista.oa?id=180&tipo=coleccion
Intersecciones en Antropología;1666-2105;1850-373X;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.redalyc.org/revista.oa?id=1795&tipo=coleccion
Invenio;;0329-3475;Universidad del Centro Educativo Latinoamericano;https://www.redalyc.org/revista.oa?id=877&tipo=coleccion
Anuario de Investigaciones;0329-5885;1851-1686;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=3691&tipo=coleccion
InVet;1514-6634;1668-3498;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=1791&tipo=coleccion
Acta Bioquímica Clínica Latinoamericana;0325-2957;1851-6114;Federación Bioquímica de la Provincia de Buenos Aires;https://www.redalyc.org/revista.oa?id=535&tipo=coleccion
Acta Gastroenterológica Latinoamericana;2469-1119;0300-9033;Sociedad Argentina de Gastroenterología;https://www.redalyc.org/revista.oa?id=1993&tipo=coleccion
Lavboratorio;;1852-4435;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=7162&tipo=coleccion
Masquedós;;2469-2158;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.redalyc.org/revista.oa?id=7022&tipo=coleccion
Antigua Matanza;;2545-8701;Universidad Nacional de La Matanza;https://www.redalyc.org/revista.oa?id=7239&tipo=coleccion
Memoria Americana. Cuadernos de Etnohistoria;0327-5752;1851-3751;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=3799&tipo=coleccion
Millcayac;;2362-616X;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=5258&tipo=coleccion
Mitológicas;0326-5676;1669-0982;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);https://www.redalyc.org/revista.oa?id=146&tipo=coleccion
Multequina;0327-9375;1852-7329;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);https://www.redalyc.org/revista.oa?id=428&tipo=coleccion
Mundo Agrario;;1515-5994;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=845&tipo=coleccion
Anuario de Historia de la Educación;;2313-9277;Sociedad Argentina de Historia de la Educación;https://www.redalyc.org/revista.oa?id=3847&tipo=coleccion
El Oído Pensante;;2250-7116;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=5529&tipo=coleccion
Philosophia;0328-9672;2313-9528;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=6039&tipo=coleccion
Palabra Clave (La Plata);;1853-9912;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=3505&tipo=coleccion
Población de Buenos Aires;;2953-3538;Gobierno de la Ciudad de Buenos Aires;https://www.redalyc.org/revista.oa?id=740&tipo=coleccion
Praxis Educativa (Arg);0328-9702;2313-934X;Universidad Nacional de La Pampa;https://www.redalyc.org/revista.oa?id=1531&tipo=coleccion
Prohistoria. Historia, políticas de la historia;;1851-9504;Prohistoria Ediciones;https://www.redalyc.org/revista.oa?id=3801&tipo=coleccion
Propuesta Educativa;;1995-7785;Facultad Latinoamericana de Ciencias Sociales;https://www.redalyc.org/revista.oa?id=4030&tipo=coleccion
PSOCIAL;;2422-619X;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=6723&tipo=coleccion
Redes;0328-3186;1851-7072;Universidad Nacional de Quilmes;https://www.redalyc.org/revista.oa?id=907&tipo=coleccion
Historia Regional;0329-8213;2469-0732;Instituto Superior de Profesorado Nº 3 Eduardo Lafferriere;https://www.redalyc.org/revista.oa?id=7277&tipo=coleccion
Quebracho - Revista de Ciencias Forestales;0328-0543;1851-3026;Universidad Nacional de Santiago del Estero;https://www.redalyc.org/revista.oa?id=481&tipo=coleccion
Revista Escuela de Historia;1667-4162;1669-9041;Universidad Nacional de Salta;https://www.redalyc.org/revista.oa?id=638&tipo=coleccion
Avá. Revista de Antropología;1515-2413;1851-1694;Universidad Nacional de Misiones;https://www.redalyc.org/revista.oa?id=1690&tipo=coleccion
Revista Argentina de Microbiología;0325-7541;1851-7617;Asociación Argentina de Microbiología;https://www.redalyc.org/revista.oa?id=2130&tipo=coleccion
Revista Electrónica de Investigación en Educación en Ciencias;;1850-6666;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.redalyc.org/revista.oa?id=2733&tipo=coleccion
Revista Argentina de Clínica Psicológica;0327-6716;1851-7951;Fundación Aiglé;https://www.redalyc.org/revista.oa?id=2819&tipo=coleccion
Revista Argentina de Cardiología;0034-7000;1850-3748;Sociedad Argentina de Cardiología;https://www.redalyc.org/revista.oa?id=3053&tipo=coleccion
PSIENCIA. Revista Latinoamericana de Ciencia Psicológica;2250-5490;2250-5504;Asociación para el Avance de la Ciencia Psicológica;https://www.redalyc.org/revista.oa?id=3331&tipo=coleccion
Revista Argentina de Ciencias del Comportamiento;;1852-4206;Universidad Nacional de Córdoba;https://www.redalyc.org/revista.oa?id=3334&tipo=coleccion
Revista Americana de Medicina Respiratoria;1852-1630;1852-236X;Asociación Argentina de Medicina Respiratoria;https://www.redalyc.org/revista.oa?id=3821&tipo=coleccion
Revista Argentina de Antropología Biológica;1514-7991;1853-6387;Asociación de Antropología Biológica Argentina;https://www.redalyc.org/revista.oa?id=3822&tipo=coleccion
Revista Argentina de Radiología;1852-9992;0048-7619;Sociedad Argentina de Radiología;https://www.redalyc.org/revista.oa?id=3825&tipo=coleccion
Revista de la Facultad de Ciencias Agrarias;0370-4661;1853-8665;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=3828&tipo=coleccion
Prismas - Revista de Historia Intelectual;1666-1508;1852-0499;Universidad Nacional de Quilmes;https://www.redalyc.org/revista.oa?id=3870&tipo=coleccion
e-l@tina. Revista electrónica de estudios latinoamericanos;;1666-9606;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=4964&tipo=coleccion
Revista Científica Arbitrada de la Fundación MenteClara;;2469-0783;Fundación MenteClara;https://www.redalyc.org/revista.oa?id=5635&tipo=coleccion
Revista Eurolatinoamericana de Derecho Administrativo;;2362-583X;Universidad Nacional del Litoral;https://www.redalyc.org/revista.oa?id=6559&tipo=coleccion
Revista Argentina de Reumatología;0327-4411;2362-3675;Sociedad Argentina de Reumatología;https://www.redalyc.org/revista.oa?id=6921&tipo=coleccion
Arquisur revista;1853-2365;2250-4206;Universidad Nacional del Litoral;https://www.redalyc.org/revista.oa?id=6997&tipo=coleccion
Revista de la Escuela de Ciencias de la Educación;1851-6297;2362-3349;Universidad Nacional de Rosario;https://www.redalyc.org/revista.oa?id=6897&tipo=coleccion
Revista Electrónica;;1851-3069;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=7181&tipo=coleccion
RIA. Revista de Investigaciones Agropecuarias;0325-8718;1669-2314;Instituto Nacional de Tecnología Agropecuaria;https://www.redalyc.org/revista.oa?id=864&tipo=coleccion
Runa;0325-1217;1851-9628;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=1808&tipo=coleccion
Salud Colectiva;1669-2381;1851-8265;Universidad Nacional de Lanús;https://www.redalyc.org/revista.oa?id=731&tipo=coleccion
Revista argentina de salud pública;;1853-810X;Ministerio de Salud de la Nación;https://www.redalyc.org/revista.oa?id=7321&tipo=coleccion
Revista del Hospital Materno Infantil Ramón Sardá;;1514-9838;Hospital Materno Infantil Ramón Sardá;https://www.redalyc.org/revista.oa?id=912&tipo=coleccion
Scripta Ethnologica;0325-6669;1669-0990;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);https://www.redalyc.org/revista.oa?id=148&tipo=coleccion
Latin American Journal of Sedimentology and Basin Analysis;;1851-4979;Asociación Argentina de Sedimentología;https://www.redalyc.org/revista.oa?id=3817&tipo=coleccion
Espacios en blanco. Serie indagaciones;;2313-9927;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.redalyc.org/revista.oa?id=3845&tipo=coleccion
Cuadernos de Antropología Social;0327-3776;1850-275X;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=1809&tipo=coleccion
Revista Pilquen - Sección Ciencias Sociales;1666-0579;1851-3123;Universidad Nacional del Comahue;https://www.redalyc.org/revista.oa?id=3475&tipo=coleccion
Estudios Sociales Contemporáneos;;2451-5965;Universidad Nacional de Cuyo;https://www.redalyc.org/revista.oa?id=6459&tipo=coleccion
Revista de la Sociedad Entomológica Argentina;;1851-7471;Sociedad Entomológica Argentina;https://www.redalyc.org/revista.oa?id=3220&tipo=coleccion
Población & Sociedad;0328-3445;1852-8562;Universidad Nacional de La Pampa;https://www.redalyc.org/revista.oa?id=3869&tipo=coleccion
Revista SAAP. Publicación de Ciencia Política de la Sociedad Argentina de Análisis Político;1666-7883;1853-1970;Sociedad Argentina de Análisis Político;https://www.redalyc.org/revista.oa?id=3871&tipo=coleccion
Revista Argentina de Sociología;1667-9261;1669-3248;Consejo de Profesionales en Sociología;https://www.redalyc.org/revista.oa?id=269&tipo=coleccion
Quinto Sol;0329-2665;1851-2879;Universidad Nacional de La Pampa;https://www.redalyc.org/revista.oa?id=231&tipo=coleccion
Synthesis;0328-1205;1851-779X;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=846&tipo=coleccion
Journal of Computer Science and Technology;1666-6046;1666-6038;Universidad Nacional de La Plata;https://www.redalyc.org/revista.oa?id=6380&tipo=coleccion
Theomai;1666-2830;1515-6443;Red Internacional de Estudios sobre Sociedad, Naturaleza y Desarrollo;https://www.redalyc.org/revista.oa?id=124&tipo=coleccion
Tópicos;1666-485X;1668-723X;Universidad Nacional del Litoral;https://www.redalyc.org/revista.oa?id=288&tipo=coleccion
Revista Latinoamericana de Antropología del Trabajo;;2591-2755;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);https://www.redalyc.org/revista.oa?id=6680&tipo=coleccion
La Trama de la Comunicación;1668-5628;2314-2634;Universidad Nacional de Rosario;https://www.redalyc.org/revista.oa?id=3239&tipo=coleccion
Revista Universitaria de Geografía;0326-8373;1852-4265;Universidad Nacional del Sur;https://www.redalyc.org/revista.oa?id=3832&tipo=coleccion
Revista de Extensión Universitaria +E;2250-4591;2346-9986;Universidad Nacional del Litoral;https://www.redalyc.org/revista.oa?id=5641&tipo=coleccion
CUADERNO URBANO. Espacio, cultura, sociedad;1666-6186;1853-3655;Universidad Nacional del Nordeste;https://www.redalyc.org/revista.oa?id=3692&tipo=coleccion
QUID 16. Revista del Área de Estudios Urbanos;;2250-4060;Universidad de Buenos Aires;https://www.redalyc.org/revista.oa?id=5596&tipo=coleccion
FAVE Sección Ciencias Veterinarias;1666-938X;2362-5589;Universidad Nacional del Litoral;https://www.redalyc.org/revista.oa?id=6177&tipo=coleccion
