Título;ISSN impresa;ISSN en linea;Instituto;URL
Revista Argentina de Microbiologia;0325-7541;;Asociacion Argentina de Microbiologia;https://www.scimagojr.com/journalsearch.php?q=20365&tip=sid&clean=0
Revista de la Facultad de Ciencias Agrarias;0370-4661;1853-8665;Universidad Nacional de Cuyo;https://www.scimagojr.com/journalsearch.php?q=19600161819&tip=sid&clean=0
Intersecciones en Antropologia;1666-2105;1850-373X;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.scimagojr.com/journalsearch.php?q=19900191915&tip=sid&clean=0
Revista Eurolatinoamericana de Derecho Administrativo;2362-583X;;Universidad Nacional del Litoral;https://www.scimagojr.com/journalsearch.php?q=21101079115&tip=sid&clean=0
Ameghiniana;1851-8044;0002-7014;Asociacion Paleontologica Argentina;https://www.scimagojr.com/journalsearch.php?q=13352&tip=sid&clean=0
Revista del Museo de Antropologia;1852-4826;1852-060X;Universidad Nacional de Cordoba, Facultad de Filosofia y Humanidades;https://www.scimagojr.com/journalsearch.php?q=21101033505&tip=sid&clean=0
Papers in Physics;1852-4249;;Instituto de Fisica de Liquidos y Sistemas Biologicos;https://www.scimagojr.com/journalsearch.php?q=21100814522&tip=sid&clean=0
Comechingonia;0326-7911;2250-7728;Instituto de Estudios Historicos;https://www.scimagojr.com/journalsearch.php?q=21101039252&tip=sid&clean=0
Journal of Computer Science and Technology(Argentina);1666-6046;1666-6038;Facultad de Informatica, Universidad Nacional de La Plata;https://www.scimagojr.com/journalsearch.php?q=21101044836&tip=sid&clean=0
Phyton-International Journal of Experimental Botany;1851-5657;0031-9457;Tech Science Press;https://www.scimagojr.com/journalsearch.php?q=16555&tip=sid&clean=0
Darwiniana;0011-6793;;Instituto de Botanica Darwinion;https://www.scimagojr.com/journalsearch.php?q=17944&tip=sid&clean=0
Salud Colectiva;1669-2381;1851-8265;Universidad Nacional de Lanus;https://www.scimagojr.com/journalsearch.php?q=17500155111&tip=sid&clean=0
Arqueologia;1853-8126;0327-5159;Facultad de Filosofia y Letras, Universidad de Buenos Aires;https://www.scimagojr.com/journalsearch.php?q=21100200407&tip=sid&clean=0
Publicacion Electronica de la Asociacion Paleontologica Argentina;2469-0228;;Asociacion Paleontologica Argentina;https://www.scimagojr.com/journalsearch.php?q=21100913567&tip=sid&clean=0
Revista de la Asociacion Geologica Argentina;0004-4822;;Asociacion Geologica Argentina;https://www.scimagojr.com/journalsearch.php?q=24663&tip=sid&clean=0
Revista Argentina de Antropologia Biologica;1853-6387;;Asociacion de Antropologia Biologica Argentina;https://www.scimagojr.com/journalsearch.php?q=21101034121&tip=sid&clean=0
Data and Metadata;2953-4917;;Editorial Salud, Ciencia y TecnologÃ­a;https://www.scimagojr.com/journalsearch.php?q=21101176015&tip=sid&clean=0
Revista del Museo Argentino de Ciencias Naturales, Nueva Serie;1514-5158;;Museo Argentino de Ciencias Naturales Bernardino Rivadavia;https://www.scimagojr.com/journalsearch.php?q=19700171103&tip=sid&clean=0
Archivos Argentinos de Pediatria;0325-0075;1668-3501;Sociedad Argentina de Pediatria;https://www.scimagojr.com/journalsearch.php?q=14512&tip=sid&clean=0
Historia Regional;0329-8213;2469-0732;Seccion Historia. Instituto Superior del Profesorado 'Eduardo Lafferriere';https://www.scimagojr.com/journalsearch.php?q=21100901477&tip=sid&clean=0
Interdisciplinaria;0325-8203;1668-7027;Centro Interamericano de Investigaciones Psicologicas y Ciencias Afines;https://www.scimagojr.com/journalsearch.php?q=19700175587&tip=sid&clean=0
Biocell;1667-5746;0327-9545;Tech Science Press;https://www.scimagojr.com/journalsearch.php?q=18414&tip=sid&clean=0
Lilloa;2346-9641;0075-9481;Fundacion Miguel Lillo;https://www.scimagojr.com/journalsearch.php?q=21101078836&tip=sid&clean=0
Mastozoologia Neotropical;1666-0536;0327-9383;SAREM Sociedad Argentina para el Estudio de los Mamiferos;https://www.scimagojr.com/journalsearch.php?q=12100157102&tip=sid&clean=0
Prohistoria. Historia, Politicas de la Historia;1851-9504;;Scientific Technological Center CONICET-Rosario;https://www.scimagojr.com/journalsearch.php?q=21101116675&tip=sid&clean=0
