Título;ISSN impresa;ISSN en linea;Instituto;URL
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;0325-2957;1851-6114;FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES , CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900;
ACTA GEOLOGICA LILLOANA;0567-7513;1852-6217;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;0001-6896;;FUNDACION ACTA , FONDO PARA LA SALUD MENTAL MALABIA 2274 13 A, BUENOS AIRES, ARGENTINA,;
ACTA ZOOLOGICA LILLOANA;0065-1729;1852-6098;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
ACTUALIZACIONES EN OSTEOLOGIA;1669-8975;1669-8983;ASOC ARGENTINA OSTEOLOGIA & METABOLISMO MINERAL , COSQUIN 1673, BARRIO JARDIN, CORDOBA, ARGENTINA, 5014;
AMEGHINIANA;0002-7014;1851-8044;ASOCIACION PALEONTOLOGICA ARGENTINA , MAIPU 645, 1ER PISO, BUENOS AIRES, ARGENTINA, 1006;
ANACRONISMO E IRRUPCION;2250-4982;;UNIV BUENOS AIRES , UNIV BUENOS AIRES, BUENOS AIRES, ARGENTINA, 00000;
ANALECTA VETERINARIA;0365-5148;1514-2590;UNIV NACIONAL PLATA , 60 Y 11, C C 296, LA PLATA, ARGENTINA, 00000;
ANALES AFA;0327-358X;1850-1168;ASOC FISICA ARGENTINA , C C 62, LA PLATA, ARGENTINA, 1900;
ANALES DE LA ACADEMIA NACIONAL DE CIENCIAS EXACTAS FISICAS Y NATURALES DE BUENOS AIRES;0365-1185;;ACAD NAC CIEN EXACTAS FISICAS NAT , AVENIDA ALVEAR 1711, 4 PISO, BUENOS AIRES, ARGENTINA, 1014;
ANALISIS FILOSOFICO;0326-1301;1851-9636;SOC ARGENTINA ANALISIS FILOSOFICO , BULNES, 642, BUENOS AIRES, ARGENTINA, 1176;
